"","long","lat","order","piece","id","group","OBJECTID","FACILITYID","STREETSEGI","SOURCEID","BIKELANELE","FACILITY","PROPOSEDCY","Shape_Leng","TRAVELDIRE","NOTES","BIKELANE_Y","PLANSREADY","GAP","GAP_NOTES","NEED_SYMBO","NEED_SYM_1","REPAINT_LI","YEAR_INSTA","link","YEAR"
"1",-77.0150304903615,38.9565906358253,1,"1","0","0.1","1","SEGID- 9854","0","15135550",0.00945537,"Existing Bike Lane",NA,15.2168459607592,NA,NA,"0","0",NA,NA,NA,NA,NA,"2008",NA,2008
"2",-77.0149468121745,38.9567111411014,2,"1","0","0.1","1","SEGID- 9854","0","15135550",0.00945537,"Existing Bike Lane",NA,15.2168459607592,NA,NA,"0","0",NA,NA,NA,NA,NA,"2008",NA,2008
"3",-77.0149468121745,38.9567111411014,1,"1","1","1.1","2","SEGID- 10198","10198","15135555",0.07675447,"Existing Bike Lane",NA,123.524975756623,NA,"COG 95, 1975 plan, public input","0",NA,NA,NA,NA,NA,NA,"2008",NA,2008
"4",-77.0148698870084,38.9567951980187,2,"1","1","1.1","2","SEGID- 10198","10198","15135555",0.07675447,"Existing Bike Lane",NA,123.524975756623,NA,"COG 95, 1975 plan, public input","0",NA,NA,NA,NA,NA,NA,"2008",NA,2008
"5",-77.0146604607042,38.9570767867727,3,"1","1","1.1","2","SEGID- 10198","10198","15135555",0.07675447,"Existing Bike Lane",NA,123.524975756623,NA,"COG 95, 1975 plan, public input","0",NA,NA,NA,NA,NA,NA,"2008",NA,2008
"6",-77.0143467160818,38.9574986376347,4,"1","1","1.1","2","SEGID- 10198","10198","15135555",0.07675447,"Existing Bike Lane",NA,123.524975756623,NA,"COG 95, 1975 plan, public input","0",NA,NA,NA,NA,NA,NA,"2008",NA,2008
"7",-77.0142206566185,38.957668125488,5,"1","1","1.1","2","SEGID- 10198","10198","15135555",0.07675447,"Existing Bike Lane",NA,123.524975756623,NA,"COG 95, 1975 plan, public input","0",NA,NA,NA,NA,NA,NA,"2008",NA,2008
"8",-77.0142206566185,38.957668125488,1,"1","2","2.1","3","SEGID- 9167","9167","15135560",0.05860958,"Existing Bike Lane",NA,94.3228948755073,NA,"COG 95, 1975 plan, public input","0",NA,NA,NA,NA,NA,NA,"2008",NA,2008
"9",-77.0136733074681,38.9584025172936,2,"1","2","2.1","3","SEGID- 9167","9167","15135560",0.05860958,"Existing Bike Lane",NA,94.3228948755073,NA,"COG 95, 1975 plan, public input","0",NA,NA,NA,NA,NA,NA,"2008",NA,2008
"10",-77.0136733074681,38.9584025172936,1,"1","3","3.1","4","SEGID- 12337","12337","15135565",0.02689091,"Existing Bike Lane",NA,43.2764706355922,NA,"COG 95, 1975 plan, public input","0",NA,NA,NA,NA,NA,NA,"2008",NA,2008
"11",-77.0136193949295,38.9584778506689,2,"1","3","3.1","4","SEGID- 12337","12337","15135565",0.02689091,"Existing Bike Lane",NA,43.2764706355922,NA,"COG 95, 1975 plan, public input","0",NA,NA,NA,NA,NA,NA,"2008",NA,2008
"12",-77.0134243888266,38.9587404550279,3,"1","3","3.1","4","SEGID- 12337","12337","15135565",0.02689091,"Existing Bike Lane",NA,43.2764706355922,NA,"COG 95, 1975 plan, public input","0",NA,NA,NA,NA,NA,NA,"2008",NA,2008
"13",-77.0123279728261,38.9602061025156,1,"1","4","4.1","5","SEGID- 10611","10611","15135580",0.17238453,"Existing Bike Lane",NA,277.425702030095,NA,"COG 95, 1975 plan, public input","0",NA,NA,NA,NA,NA,NA,"2008",NA,2008
"14",-77.0107151212823,38.9623648018351,2,"1","4","4.1","5","SEGID- 10611","10611","15135580",0.17238453,"Existing Bike Lane",NA,277.425702030095,NA,"COG 95, 1975 plan, public input","0",NA,NA,NA,NA,NA,NA,"2008",NA,2008
"15",-77.0107151212823,38.9623648018351,1,"1","5","5.1","6","SEGID- 5894","5894","15135595",0.02697727,"Shared Lane",NA,43.415777840727,NA,"COG 95, public input","0",NA,NA,NA,NA,NA,NA,"2008",NA,2008
"16",-77.0104631632844,38.9627028323672,2,"1","5","5.1","6","SEGID- 5894","5894","15135595",0.02697727,"Shared Lane",NA,43.415777840727,NA,"COG 95, public input","0",NA,NA,NA,NA,NA,NA,"2008",NA,2008
"17",-77.0104631632844,38.9627028323672,1,"1","6","6.1","7","SEGID- 11907","11907","15135600",0.16455645,"Shared Lane",NA,264.828699593446,NA,"COG 95, 1975 plan, public input","0",NA,NA,NA,NA,NA,NA,"2008",NA,2008
"18",-77.0089288575479,38.9647659484056,2,"1","6","6.1","7","SEGID- 11907","11907","15135600",0.16455645,"Shared Lane",NA,264.828699593446,NA,"COG 95, 1975 plan, public input","0",NA,NA,NA,NA,NA,NA,"2008",NA,2008
"19",-77.0005816072942,38.8898154350259,1,"1","7","7.1","8","SEGID- 5906","5906","20040000",0.07791571,"Existing Bike Lane",NA,125.393452802124,"In Bound","Sebastian planned lanes, 1975 plan","0",NA,NA,NA,NA,NA,NA,"2005",NA,2005
"20",-77.000580916583,38.8899233553798,2,"1","7","7.1","8","SEGID- 5906","5906","20040000",0.07791571,"Existing Bike Lane",NA,125.393452802124,"In Bound","Sebastian planned lanes, 1975 plan","0",NA,NA,NA,NA,NA,NA,"2005",NA,2005
"21",-77.0005775775066,38.8903699005975,3,"1","7","7.1","8","SEGID- 5906","5906","20040000",0.07791571,"Existing Bike Lane",NA,125.393452802124,"In Bound","Sebastian planned lanes, 1975 plan","0",NA,NA,NA,NA,NA,NA,"2005",NA,2005
"22",-77.0005780512066,38.8905061342593,4,"1","7","7.1","8","SEGID- 5906","5906","20040000",0.07791571,"Existing Bike Lane",NA,125.393452802124,"In Bound","Sebastian planned lanes, 1975 plan","0",NA,NA,NA,NA,NA,NA,"2005",NA,2005
"23",-77.0005793105283,38.890863919891,5,"1","7","7.1","8","SEGID- 5906","5906","20040000",0.07791571,"Existing Bike Lane",NA,125.393452802124,"In Bound","Sebastian planned lanes, 1975 plan","0",NA,NA,NA,NA,NA,NA,"2005",NA,2005
"24",-77.0005793107713,38.8908937376119,6,"1","7","7.1","8","SEGID- 5906","5906","20040000",0.07791571,"Existing Bike Lane",NA,125.393452802124,"In Bound","Sebastian planned lanes, 1975 plan","0",NA,NA,NA,NA,NA,NA,"2005",NA,2005
"25",-77.000581155466,38.8909449952555,7,"1","7","7.1","8","SEGID- 5906","5906","20040000",0.07791571,"Existing Bike Lane",NA,125.393452802124,"In Bound","Sebastian planned lanes, 1975 plan","0",NA,NA,NA,NA,NA,NA,"2005",NA,2005
"26",-77.000581155466,38.8909449952555,1,"1","8","8.1","9","SEGID- 6848","6848","20040010",0.07428582,"Existing Bike Lane",NA,119.551661260482,"In Bound","Sebastian planned lanes, 1975 plan","0",NA,NA,NA,NA,NA,NA,"2005",NA,2005
"27",-77.0005805798085,38.891028142557,2,"1","8","8.1","9","SEGID- 6848","6848","20040010",0.07428582,"Existing Bike Lane",NA,119.551661260482,"In Bound","Sebastian planned lanes, 1975 plan","0",NA,NA,NA,NA,NA,NA,"2005",NA,2005
"28",-77.0005744780327,38.8919437537136,3,"1","8","8.1","9","SEGID- 6848","6848","20040010",0.07428582,"Existing Bike Lane",NA,119.551661260482,"In Bound","Sebastian planned lanes, 1975 plan","0",NA,NA,NA,NA,NA,NA,"2005",NA,2005
"29",-77.0005739023192,38.8920219463953,4,"1","8","8.1","9","SEGID- 6848","6848","20040010",0.07428582,"Existing Bike Lane",NA,119.551661260482,"In Bound","Sebastian planned lanes, 1975 plan","0",NA,NA,NA,NA,NA,NA,"2005",NA,2005
"30",-77.0005801789098,38.8842770824193,1,"1","9","9.1","10","SEGID- 10","10","30040040",0.07229049,"Existing Bike Lane",NA,116.340502193365,"Out Bound","1975 plan","0",NA,NA,NA,NA,NA,NA,"1980",NA,1980
"31",-77.0005806392996,38.8841991598835,2,"1","9","9.1","10","SEGID- 10","10","30040040",0.07229049,"Existing Bike Lane",NA,116.340502193365,"Out Bound","1975 plan","0",NA,NA,NA,NA,NA,NA,"1980",NA,1980
"32",-77.000580869462,38.8841562799674,3,"1","9","9.1","10","SEGID- 10","10","30040040",0.07229049,"Existing Bike Lane",NA,116.340502193365,"Out Bound","1975 plan","0",NA,NA,NA,NA,NA,NA,"1980",NA,1980
"33",-77.0005787914332,38.8837368495331,4,"1","9","9.1","10","SEGID- 10","10","30040040",0.07229049,"Existing Bike Lane",NA,116.340502193365,"Out Bound","1975 plan","0",NA,NA,NA,NA,NA,NA,"1980",NA,1980
"34",-77.0005789035481,38.8833511104238,5,"1","9","9.1","10","SEGID- 10","10","30040040",0.07229049,"Existing Bike Lane",NA,116.340502193365,"Out Bound","1975 plan","0",NA,NA,NA,NA,NA,NA,"1980",NA,1980
"35",-77.0005789033434,38.8833259770246,6,"1","9","9.1","10","SEGID- 10","10","30040040",0.07229049,"Existing Bike Lane",NA,116.340502193365,"Out Bound","1975 plan","0",NA,NA,NA,NA,NA,NA,"1980",NA,1980
"36",-77.0005791330638,38.8832290467806,7,"1","9","9.1","10","SEGID- 10","10","30040040",0.07229049,"Existing Bike Lane",NA,116.340502193365,"Out Bound","1975 plan","0",NA,NA,NA,NA,NA,NA,"1980",NA,1980
"37",-77.0005791330638,38.8832290467806,1,"1","10","10.1","11","SEGID- 769","769","30040050",0.03577264,"Existing Bike Lane",NA,57.5705804113017,"Out Bound","1975 plan","0",NA,NA,NA,NA,NA,NA,"1980",NA,1980
