"Start.station.number","starthour","variable","value"
31000,0,"inflow",41
31000,1,"inflow",21
31000,2,"inflow",10
31000,3,"inflow",14
31000,4,"inflow",20
31000,5,"inflow",75
31000,6,"inflow",8
31000,7,"inflow",23
31000,8,"inflow",70
31000,9,"inflow",55
31000,10,"inflow",62
31000,11,"inflow",81
31000,12,"inflow",99
31000,13,"inflow",86
31000,14,"inflow",87
31000,15,"inflow",93
31000,16,"inflow",149
31000,17,"inflow",185
31000,18,"inflow",226
31000,19,"inflow",199
31000,20,"inflow",128
31000,21,"inflow",104
31000,22,"inflow",49
31000,23,"inflow",47
31001,0,"inflow",40
31001,1,"inflow",14
31001,2,"inflow",7
31001,3,"inflow",4
31001,4,"inflow",1
31001,5,"inflow",6
31001,6,"inflow",5
31001,7,"inflow",38
31001,8,"inflow",117
31001,9,"inflow",160
31001,10,"inflow",44
31001,11,"inflow",60
31001,12,"inflow",81
31001,13,"inflow",69
31001,14,"inflow",80
31001,15,"inflow",98
31001,16,"inflow",140
31001,17,"inflow",172
31001,18,"inflow",309
31001,19,"inflow",195
31001,20,"inflow",170
31001,21,"inflow",137
31001,22,"inflow",131
31001,23,"inflow",58
31002,0,"inflow",15
31002,1,"inflow",12
31002,2,"inflow",8
31002,3,"inflow",4
31002,4,"inflow",7
31002,5,"inflow",14
31002,6,"inflow",53
31002,7,"inflow",326
31002,8,"inflow",774
31002,9,"inflow",539
31002,10,"inflow",271
31002,11,"inflow",240
31002,12,"inflow",379
31002,13,"inflow",376
31002,14,"inflow",364
31002,15,"inflow",352
31002,16,"inflow",546
31002,17,"inflow",983
31002,18,"inflow",819
31002,19,"inflow",429
31002,20,"inflow",294
31002,21,"inflow",176
31002,22,"inflow",119
31002,23,"inflow",62
31003,0,"inflow",29
31003,1,"inflow",33
31003,2,"inflow",15
31003,4,"inflow",1
31003,5,"inflow",6
31003,6,"inflow",54
31003,7,"inflow",192
31003,8,"inflow",453
31003,9,"inflow",260
31003,10,"inflow",172
31003,11,"inflow",192
31003,12,"inflow",371
31003,13,"inflow",325
31003,14,"inflow",283
31003,15,"inflow",425
31003,16,"inflow",373
31003,17,"inflow",772
31003,18,"inflow",547
31003,19,"inflow",359
31003,20,"inflow",243
31003,21,"inflow",119
31003,22,"inflow",90
31003,23,"inflow",47
31004,0,"inflow",19
31004,4,"inflow",NA
31004,5,"inflow",NA
31004,6,"inflow",1
31004,7,"inflow",21
31004,8,"inflow",50
31004,9,"inflow",48
31004,10,"inflow",64
31004,11,"inflow",78
31004,12,"inflow",132
31004,13,"inflow",111
31004,14,"inflow",165
31004,15,"inflow",229
31004,16,"inflow",302
31004,17,"inflow",566
31004,18,"inflow",414
31004,19,"inflow",245
31004,20,"inflow",211
31004,21,"inflow",135
31004,22,"inflow",122
31004,23,"inflow",54
31005,0,"inflow",21
31005,1,"inflow",6
31005,2,"inflow",1
31005,3,"inflow",2
31005,4,"inflow",5
31005,5,"inflow",17
