"Start.station.number","starthour","freq.x","freq.y"
31000,0,20,41
31000,1,11,21
31000,2,16,10
31000,3,4,14
31000,4,8,20
31000,5,24,75
31000,6,54,8
31000,7,98,23
31000,8,138,70
31000,9,152,55
31000,10,140,62
31000,11,132,81
31000,12,139,99
31000,13,119,86
31000,14,85,87
31000,15,103,93
31000,16,120,149
31000,17,95,185
31000,18,126,226
31000,19,116,199
31000,20,68,128
31000,21,50,104
31000,22,38,49
31000,23,27,47
31001,0,13,40
31001,1,5,14
31001,2,8,7
31001,3,2,4
31001,4,4,1
31001,5,4,6
31001,6,22,5
31001,7,57,38
31001,8,231,117
31001,9,145,160
31001,10,112,44
31001,11,143,60
31001,12,115,81
31001,13,125,69
31001,14,142,80
31001,15,136,98
31001,16,127,140
31001,17,215,172
31001,18,226,309
31001,19,163,195
31001,20,125,170
31001,21,69,137
31001,22,43,131
31001,23,17,58
31002,0,32,15
31002,1,22,12
31002,2,7,8
31002,3,4,4
31002,4,13,7
31002,5,5,14
31002,6,116,53
31002,7,264,326
31002,8,417,774
31002,9,231,539
31002,10,207,271
31002,11,253,240
31002,12,433,379
31002,13,345,376
31002,14,280,364
31002,15,340,352
31002,16,712,546
31002,17,1037,983
31002,18,721,819
31002,19,396,429
31002,20,238,294
31002,21,103,176
31002,22,72,119
31002,23,42,62
31003,0,30,29
31003,1,8,33
31003,2,5,15
31003,4,3,1
31003,5,3,6
31003,6,90,54
31003,7,235,192
31003,8,209,453
31003,9,306,260
31003,10,225,172
31003,11,268,192
31003,12,429,371
31003,13,323,325
31003,14,316,283
31003,15,381,425
31003,16,540,373
31003,17,675,772
31003,18,429,547
31003,19,325,359
31003,20,174,243
31003,21,109,119
31003,22,82,90
31003,23,40,47
31004,0,1,19
31004,4,1,NA
31004,5,9,NA
31004,6,148,1
31004,7,453,21
31004,8,514,50
31004,9,235,48
31004,10,136,64
31004,11,144,78
31004,12,141,132
31004,13,146,111
31004,14,157,165
31004,15,138,229
31004,16,157,302
31004,17,205,566
31004,18,233,414
31004,19,157,245
31004,20,102,211
31004,21,51,135
31004,22,9,122
31004,23,3,54
31005,0,29,21
31005,1,5,6
31005,2,2,1
31005,3,4,2
31005,4,1,5
31005,5,10,17
31005,6,33,116
31005,7,116,561
31005,8,399,803
31005,9,532,427
31005,10,194,282
31005,11,248,363
31005,12,331,473
31005,13,391,438
31005,14,382,441
31005,15,437,379
31005,16,590,508
31005,17,1173,843
31005,18,976,834
31005,19,497,567
31005,20,357,348
31005,21,290,166
31005,22,175,92
31005,23,122,58
31006,0,46,59
31006,1,19,31
31006,2,15,19
31006,3,4,16
31006,4,3,9
31006,5,5,19
31006,6,69,38
31006,7,286,91
31006,8,359,129
31006,9,280,163
31006,10,201,156
31006,11,217,230
31006,12,218,244
31006,13,260,245
31006,14,215,239
31006,15,210,260
31006,16,196,493
31006,17,267,596
31006,18,316,522
31006,19,305,453
31006,20,232,303
31006,21,155,196
31006,22,107,119
31006,23,69,91
31007,0,43,25
31007,1,28,11
31007,2,11,18
31007,3,3,7
31007,5,8,55
31007,6,139,58
31007,7,500,186
31007,8,1096,662
31007,9,580,798
31007,10,222,272
31007,11,230,192
31007,12,286,213
31007,13,261,233
31007,14,232,171
31007,15,328,211
31007,16,569,351
31007,17,1040,816
31007,18,1002,757
31007,19,378,379
31007,20,290,162
31007,21,198,96
31007,22,194,79
31007,23,134,74
31008,0,23,28
31008,1,7,11
31008,2,2,8
31008,3,2,3
31008,4,2,13
31008,5,213,2
31008,6,225,261
31008,7,396,272
31008,8,560,194
31008,9,266,250
31008,10,227,144
31008,11,233,219
31008,12,254,260
31008,13,255,228
31008,14,279,195
31008,15,357,357
31008,16,236,435
31008,17,363,790
31008,18,475,538
31008,19,292,367
31008,20,194,333
31008,21,112,182
31008,22,56,99
31008,23,39,79
31009,0,16,36
31009,1,3,19
31009,2,3,16
31009,3,4,14
31009,4,3,3
31009,5,15,10
31009,6,29,91
31009,7,158,356
31009,8,301,1193
31009,9,376,426
31009,10,142,172
31009,11,281,144
31009,12,310,234
31009,13,191,215
31009,14,171,175
31009,15,205,182
31009,16,367,276
31009,17,1011,346
31009,18,601,368
31009,19,286,204
31009,20,135,175
31009,21,77,158
31009,22,45,99
31009,23,47,99
31010,0,36,30
31010,1,7,13
31010,2,5,10
31010,3,2,2
31010,4,82,1
31010,5,32,25
31010,6,60,45
31010,7,113,107
31010,8,271,110
31010,9,232,118
31010,10,180,154
31010,11,206,210
31010,12,231,275
31010,13,247,224
31010,14,212,258
31010,15,216,257
31010,16,310,444
31010,17,376,567
31010,18,359,525
31010,19,270,331
31010,20,171,213
31010,21,117,169
31010,22,81,102
31010,23,35,65
31011,0,45,30
31011,1,26,19
31011,2,13,11
31011,3,6,11
31011,4,6,4
31011,5,8,151
31011,6,40,314
31011,7,400,479
31011,8,190,964
