"Start.station.number","starthour","freq.x","freq.y","LATITUDE","LONGITUDE"
31000,0,20,41,38.858971,-77.05323
31000,1,11,21,38.858971,-77.05323
31000,2,16,10,38.858971,-77.05323
31000,3,4,14,38.858971,-77.05323
31000,4,8,20,38.858971,-77.05323
31000,5,24,75,38.858971,-77.05323
31000,6,54,8,38.858971,-77.05323
31000,7,98,23,38.858971,-77.05323
31000,8,138,70,38.858971,-77.05323
31000,9,152,55,38.858971,-77.05323
31000,10,140,62,38.858971,-77.05323
31000,11,132,81,38.858971,-77.05323
31000,12,139,99,38.858971,-77.05323
31000,13,119,86,38.858971,-77.05323
31000,14,85,87,38.858971,-77.05323
31000,15,103,93,38.858971,-77.05323
31000,16,120,149,38.858971,-77.05323
31000,17,95,185,38.858971,-77.05323
31000,18,126,226,38.858971,-77.05323
31000,19,116,199,38.858971,-77.05323
31000,20,68,128,38.858971,-77.05323
31000,21,50,104,38.858971,-77.05323
31000,22,38,49,38.858971,-77.05323
31000,23,27,47,38.858971,-77.05323
31001,0,13,40,38.85725,-77.05332
31001,1,5,14,38.85725,-77.05332
31001,2,8,7,38.85725,-77.05332
31001,3,2,4,38.85725,-77.05332
31001,4,4,1,38.85725,-77.05332
31001,5,4,6,38.85725,-77.05332
31001,6,22,5,38.85725,-77.05332
31001,7,57,38,38.85725,-77.05332
31001,8,231,117,38.85725,-77.05332
31001,9,145,160,38.85725,-77.05332
31001,10,112,44,38.85725,-77.05332
31001,11,143,60,38.85725,-77.05332
31001,12,115,81,38.85725,-77.05332
31001,13,125,69,38.85725,-77.05332
31001,14,142,80,38.85725,-77.05332
31001,15,136,98,38.85725,-77.05332
31001,16,127,140,38.85725,-77.05332
31001,17,215,172,38.85725,-77.05332
31001,18,226,309,38.85725,-77.05332
31001,19,163,195,38.85725,-77.05332
31001,20,125,170,38.85725,-77.05332
31001,21,69,137,38.85725,-77.05332
31001,22,43,131,38.85725,-77.05332
31001,23,17,58,38.85725,-77.05332
31002,0,32,15,38.856425,-77.049232
31002,1,22,12,38.856425,-77.049232
31002,2,7,8,38.856425,-77.049232
31002,3,4,4,38.856425,-77.049232
31002,4,13,7,38.856425,-77.049232
31002,5,5,14,38.856425,-77.049232
31002,6,116,53,38.856425,-77.049232
31002,7,264,326,38.856425,-77.049232
31002,8,417,774,38.856425,-77.049232
31002,9,231,539,38.856425,-77.049232
31002,10,207,271,38.856425,-77.049232
31002,11,253,240,38.856425,-77.049232
