"","Start.station.number","starthour","freq.x","freq.y"
"1",31000,0,20,-41
"2",31000,1,11,-21
"3",31000,2,16,-10
"4",31000,3,4,-14
"5",31000,4,8,-20
"6",31000,5,24,-75
"7",31000,6,54,-8
"8",31000,7,98,-23
"9",31000,8,138,-70
"10",31000,9,152,-55
"11",31000,10,140,-62
"12",31000,11,132,-81
"13",31000,12,139,-99
"14",31000,13,119,-86
"15",31000,14,85,-87
"16",31000,15,103,-93
"17",31000,16,120,-149
"18",31000,17,95,-185
"19",31000,18,126,-226
"20",31000,19,116,-199
"21",31000,20,68,-128
"22",31000,21,50,-104
"23",31000,22,38,-49
"24",31000,23,27,-47
"25",31001,0,13,-40
"26",31001,1,5,-14
"27",31001,2,8,-7
"28",31001,3,2,-4
"29",31001,4,4,-1
"30",31001,5,4,-6
"31",31001,6,22,-5
"32",31001,7,57,-38
"33",31001,8,231,-117
"34",31001,9,145,-160
"35",31001,10,112,-44
"36",31001,11,143,-60
"37",31001,12,115,-81
"38",31001,13,125,-69
"39",31001,14,142,-80
"40",31001,15,136,-98
"41",31001,16,127,-140
"42",31001,17,215,-172
"43",31001,18,226,-309
"44",31001,19,163,-195
"45",31001,20,125,-170
"46",31001,21,69,-137
"47",31001,22,43,-131
"48",31001,23,17,-58
"49",31002,0,32,-15
"50",31002,1,22,-12
"51",31002,2,7,-8
"52",31002,3,4,-4
"53",31002,4,13,-7
"54",31002,5,5,-14
"55",31002,6,116,-53
"56",31002,7,264,-326
"57",31002,8,417,-774
"58",31002,9,231,-539
"59",31002,10,207,-271
"60",31002,11,253,-240
"61",31002,12,433,-379
"62",31002,13,345,-376
"63",31002,14,280,-364
"64",31002,15,340,-352
"65",31002,16,712,-546
"66",31002,17,1037,-983
"67",31002,18,721,-819
"68",31002,19,396,-429
"69",31002,20,238,-294
"70",31002,21,103,-176
"71",31002,22,72,-119
"72",31002,23,42,-62
"73",31003,0,30,-29
"74",31003,1,8,-33
"75",31003,2,5,-15
"76",31003,4,3,-1
"77",31003,5,3,-6
"78",31003,6,90,-54
"79",31003,7,235,-192
"80",31003,8,209,-453
"81",31003,9,306,-260
"82",31003,10,225,-172
"83",31003,11,268,-192
"84",31003,12,429,-371
"85",31003,13,323,-325
"86",31003,14,316,-283
"87",31003,15,381,-425
"88",31003,16,540,-373
"89",31003,17,675,-772
